title,category,level,rating,url,tags
AI Masterclass 1,AI,Advanced,4.9,https://www.freecodecamp.org,ai ai skills learning
NLP Career Path 2,AI,Advanced,4.8,https://www.freecodecamp.org,nlp ai skills learning
AI Automation Career Path 3,AI,Advanced,4.6,https://www.freecodecamp.org,ai automation ai skills learning
NLP Professional 4,AI,Advanced,4.6,https://learn.microsoft.com,nlp ai skills learning
AI Automation Career Path 5,AI,Beginner,4.8,https://www.edx.org,ai automation ai skills learning
Prompt Engineering Hands-on Training 6,AI,Intermediate,4.9,https://www.udemy.com,prompt engineering ai skills learning
AI Essentials 7,AI,Beginner,4.8,https://learn.microsoft.com,ai ai skills learning
Prompt Engineering Career Path 8,AI,Intermediate,4.8,https://learn.microsoft.com,prompt engineering ai skills learning
NLP Professional 9,AI,Advanced,4.8,https://www.coursera.org,nlp ai skills learning
LLM Advanced Systems 10,AI,Beginner,4.8,https://www.udemy.com,llm ai skills learning
AI Career Path 11,AI,Intermediate,4.6,https://www.freecodecamp.org,ai ai skills learning
LLM Career Path 12,AI,Intermediate,4.9,https://www.udemy.com,llm ai skills learning
AI Foundations 13,AI,Beginner,4.8,https://www.coursera.org,ai ai skills learning
AI Essentials 14,AI,Intermediate,4.7,https://www.freecodecamp.org,ai ai skills learning
Computer Vision Professional 15,AI,Intermediate,4.8,https://learn.microsoft.com,computer vision ai skills learning
Prompt Engineering Hands-on Training 16,AI,Advanced,4.8,https://www.edx.org,prompt engineering ai skills learning
LLM Bootcamp 17,AI,Intermediate,4.7,https://www.edx.org,llm ai skills learning
AI Foundations 18,AI,Beginner,4.6,https://www.coursera.org,ai ai skills learning
LLM Foundations 19,AI,Intermediate,4.8,https://www.udemy.com,llm ai skills learning
AI Projects 20,AI,Beginner,4.7,https://learn.microsoft.com,ai ai skills learning
NLP Professional 21,AI,Intermediate,4.8,https://www.udemy.com,nlp ai skills learning
NLP Hands-on Training 22,AI,Advanced,4.6,https://www.edx.org,nlp ai skills learning
AI Bootcamp 23,AI,Intermediate,4.6,https://www.freecodecamp.org,ai ai skills learning
